filename,distortion_scale,flip_prob,loss,samples_per_point
ILSVRC2012_val_00018317.png,0.0,0.0,0.08858983963727951,0
ILSVRC2012_val_00045761.png,0.0,0.0,0.053440485149621964,0
ILSVRC2012_val_00020011.png,0.0,0.0,0.07861220091581345,0
ILSVRC2012_val_00026001.png,0.0,0.0,0.2770669162273407,0
ILSVRC2012_val_00035367.png,0.0,0.0,0.6299148797988892,0
ILSVRC2012_val_00017440.png,0.0,0.0,0.02990823984146118,0
ILSVRC2012_val_00026908.png,0.0,0.0,0.07159997522830963,0
ILSVRC2012_val_00028221.png,0.0,0.0,0.15995675325393677,0
ILSVRC2012_val_00018317.png,0.0,0.25,0.07908131182193756,1
ILSVRC2012_val_00045761.png,0.0,0.25,0.038546688854694366,1
ILSVRC2012_val_00020011.png,0.0,0.25,0.07975725829601288,1
ILSVRC2012_val_00026001.png,0.0,0.25,0.10173796117305756,1
ILSVRC2012_val_00035367.png,0.0,0.25,0.7842649221420288,1
ILSVRC2012_val_00017440.png,0.0,0.25,0.17458847165107727,1
ILSVRC2012_val_00026908.png,0.0,0.25,0.1243748888373375,1
ILSVRC2012_val_00028221.png,0.0,0.25,0.2786107063293457,1
ILSVRC2012_val_00018317.png,0.0,0.5,0.09607739746570587,1
ILSVRC2012_val_00045761.png,0.0,0.5,0.0013940150383859873,1
ILSVRC2012_val_00020011.png,0.0,0.5,0.05251770466566086,1
ILSVRC2012_val_00026001.png,0.0,0.5,0.32898131012916565,1
ILSVRC2012_val_00035367.png,0.0,0.5,0.27286362648010254,1
ILSVRC2012_val_00017440.png,0.0,0.5,0.013702379539608955,1
ILSVRC2012_val_00026908.png,0.0,0.5,0.17292402684688568,1
ILSVRC2012_val_00028221.png,0.0,0.5,0.11320202052593231,1
ILSVRC2012_val_00018317.png,0.0,0.75,0.09869067370891571,1
ILSVRC2012_val_00045761.png,0.0,0.75,0.042499396950006485,1
ILSVRC2012_val_00020011.png,0.0,0.75,0.054310478270053864,1
ILSVRC2012_val_00026001.png,0.0,0.75,3.4024264812469482,1
ILSVRC2012_val_00035367.png,0.0,0.75,0.5242742300033569,1
ILSVRC2012_val_00017440.png,0.0,0.75,0.000747758662328124,1
ILSVRC2012_val_00026908.png,0.0,0.75,0.08416029065847397,1
ILSVRC2012_val_00028221.png,0.0,0.75,0.08549384772777557,1
ILSVRC2012_val_00018317.png,0.0,1.0,0.04317449405789375,1
ILSVRC2012_val_00045761.png,0.0,1.0,0.02167489565908909,1
ILSVRC2012_val_00020011.png,0.0,1.0,0.4853671193122864,1
ILSVRC2012_val_00026001.png,0.0,1.0,0.2276196926832199,1
ILSVRC2012_val_00035367.png,0.0,1.0,0.438752681016922,1
ILSVRC2012_val_00017440.png,0.0,1.0,0.04253595694899559,1
ILSVRC2012_val_00026908.png,0.0,1.0,0.21850626170635223,1
ILSVRC2012_val_00028221.png,0.0,1.0,0.14803113043308258,1
ILSVRC2012_val_00018317.png,0.05,0.0,0.30033355951309204,1
ILSVRC2012_val_00045761.png,0.05,0.0,0.18837042152881622,1
ILSVRC2012_val_00020011.png,0.05,0.0,0.09659455716609955,1
ILSVRC2012_val_00026001.png,0.05,0.0,1.4578845500946045,1
ILSVRC2012_val_00035367.png,0.05,0.0,0.41085606813430786,1
ILSVRC2012_val_00017440.png,0.05,0.0,0.09431528300046921,1
ILSVRC2012_val_00026908.png,0.05,0.0,1.9824507236480713,1
ILSVRC2012_val_00028221.png,0.05,0.0,0.14188966155052185,1
ILSVRC2012_val_00018317.png,0.05,0.25,0.07425279915332794,1
ILSVRC2012_val_00045761.png,0.05,0.25,0.0014778178883716464,1
ILSVRC2012_val_00020011.png,0.05,0.25,0.10762114822864532,1
ILSVRC2012_val_00026001.png,0.05,0.25,2.2972159385681152,1
ILSVRC2012_val_00035367.png,0.05,0.25,0.21145054697990417,1
ILSVRC2012_val_00017440.png,0.05,0.25,0.03509970381855965,1
ILSVRC2012_val_00026908.png,0.05,0.25,0.3101799488067627,1
ILSVRC2012_val_00028221.png,0.05,0.25,0.12650418281555176,1
ILSVRC2012_val_00018317.png,0.05,0.5,1.0271086692810059,1
ILSVRC2012_val_00045761.png,0.05,0.5,0.9872123003005981,1
ILSVRC2012_val_00020011.png,0.05,0.5,0.03758629038929939,1
ILSVRC2012_val_00026001.png,0.05,0.5,1.4063339233398438,1
ILSVRC2012_val_00035367.png,0.05,0.5,0.2822757363319397,1
ILSVRC2012_val_00017440.png,0.05,0.5,0.018342632800340652,1
ILSVRC2012_val_00026908.png,0.05,0.5,0.47290176153182983,1
ILSVRC2012_val_00028221.png,0.05,0.5,0.07670452445745468,1
ILSVRC2012_val_00018317.png,0.05,0.75,0.7280610799789429,1
ILSVRC2012_val_00045761.png,0.05,0.75,0.0010143141262233257,1
ILSVRC2012_val_00020011.png,0.05,0.75,0.020753493532538414,1
ILSVRC2012_val_00026001.png,0.05,0.75,0.37794366478919983,1
ILSVRC2012_val_00035367.png,0.05,0.75,4.350529193878174,1
